data_source,country,hemisphere,week,year,age_group,cumulative_cases,denominator
minsal,CHI,sh,1,2022,0-5,1823,19828563
minsal,CHI,sh,1,2022,5-17,2450,19828563
minsal,CHI,sh,1,2022,18-49,52616,19828563
minsal,CHI,sh,1,2022,50-59,32058,19828563
minsal,CHI,sh,1,2022,60-69,32380,19828563
minsal,CHI,sh,1,2022,70-79,25477,19828563
minsal,CHI,sh,1,2022,80+,18394,19828563
minsal,CHI,sh,2,2022,0-5,1849,19828563
minsal,CHI,sh,2,2022,5-17,2466,19828563
minsal,CHI,sh,2,2022,18-49,52771,19828563
minsal,CHI,sh,2,2022,50-59,32147,19828563
minsal,CHI,sh,2,2022,60-69,32488,19828563
minsal,CHI,sh,2,2022,70-79,25554,19828563
minsal,CHI,sh,2,2022,80+,18484,19828563
minsal,CHI,sh,3,2022,0-5,1896,19828563
minsal,CHI,sh,3,2022,5-17,2522,19828563
minsal,CHI,sh,3,2022,18-49,53246,19828563
minsal,CHI,sh,3,2022,50-59,32318,19828563
minsal,CHI,sh,3,2022,60-69,32705,19828563
minsal,CHI,sh,3,2022,70-79,25731,19828563
minsal,CHI,sh,3,2022,80+,18668,19828563
minsal,CHI,sh,4,2022,0-5,2009,19828563
minsal,CHI,sh,4,2022,5-17,2611,19828563
minsal,CHI,sh,4,2022,18-49,53973,19828563
minsal,CHI,sh,4,2022,50-59,32518,19828563
minsal,CHI,sh,4,2022,60-69,32958,19828563
minsal,CHI,sh,4,2022,70-79,26035,19828563
minsal,CHI,sh,4,2022,80+,18996,19828563
minsal,CHI,sh,5,2022,0-5,2198,19828563
minsal,CHI,sh,5,2022,5-17,2741,19828563
minsal,CHI,sh,5,2022,18-49,55025,19828563
minsal,CHI,sh,5,2022,50-59,32887,19828563
minsal,CHI,sh,5,2022,60-69,33460,19828563
minsal,CHI,sh,5,2022,70-79,26586,19828563
minsal,CHI,sh,5,2022,80+,19561,19828563
minsal,CHI,sh,6,2022,0-5,2400,19828563
minsal,CHI,sh,6,2022,5-17,2886,19828563
minsal,CHI,sh,6,2022,18-49,56214,19828563
minsal,CHI,sh,6,2022,50-59,33320,19828563
minsal,CHI,sh,6,2022,60-69,34120,19828563
minsal,CHI,sh,6,2022,70-79,27403,19828563
minsal,CHI,sh,6,2022,80+,20335,19828563
minsal,CHI,sh,7,2022,0-5,2606,19828563
minsal,CHI,sh,7,2022,5-17,3048,19828563
minsal,CHI,sh,7,2022,18-49,57284,19828563
minsal,CHI,sh,7,2022,50-59,33769,19828563
minsal,CHI,sh,7,2022,60-69,34806,19828563
minsal,CHI,sh,7,2022,70-79,28219,19828563
minsal,CHI,sh,7,2022,80+,21253,19828563
minsal,CHI,sh,8,2022,0-5,2738,19828563
minsal,CHI,sh,8,2022,5-17,3194,19828563
minsal,CHI,sh,8,2022,18-49,58297,19828563
minsal,CHI,sh,8,2022,50-59,34203,19828563
minsal,CHI,sh,8,2022,60-69,35460,19828563
minsal,CHI,sh,8,2022,70-79,28984,19828563
minsal,CHI,sh,8,2022,80+,22090,19828563
minsal,CHI,sh,9,2022,0-5,2866,19828563
minsal,CHI,sh,9,2022,5-17,3330,19828563
minsal,CHI,sh,9,2022,18-49,59170,19828563
minsal,CHI,sh,9,2022,50-59,34529,19828563
minsal,CHI,sh,9,2022,60-69,36006,19828563
minsal,CHI,sh,9,2022,70-79,29609,19828563
minsal,CHI,sh,9,2022,80+,22731,19828563
minsal,CHI,sh,10,2022,0-5,2973,19828563
minsal,CHI,sh,10,2022,5-17,3442,19828563
minsal,CHI,sh,10,2022,18-49,59794,19828563
minsal,CHI,sh,10,2022,50-59,34780,19828563
minsal,CHI,sh,10,2022,60-69,36397,19828563
minsal,CHI,sh,10,2022,70-79,30064,19828563
minsal,CHI,sh,10,2022,80+,23267,19828563
minsal,CHI,sh,11,2022,0-5,3056,19828563
minsal,CHI,sh,11,2022,5-17,3541,19828563
minsal,CHI,sh,11,2022,18-49,60248,19828563
minsal,CHI,sh,11,2022,50-59,34969,19828563
minsal,CHI,sh,11,2022,60-69,36713,19828563
minsal,CHI,sh,11,2022,70-79,30367,19828563
minsal,CHI,sh,11,2022,80+,23635,19828563
minsal,CHI,sh,12,2022,0-5,3139,19828563
minsal,CHI,sh,12,2022,5-17,3600,19828563
minsal,CHI,sh,12,2022,18-49,60576,19828563
minsal,CHI,sh,12,2022,50-59,35121,19828563
minsal,CHI,sh,12,2022,60-69,36923,19828563
minsal,CHI,sh,12,2022,70-79,30607,19828563
minsal,CHI,sh,12,2022,80+,23870,19828563
minsal,CHI,sh,13,2022,0-5,3178,19828563
minsal,CHI,sh,13,2022,5-17,3651,19828563
minsal,CHI,sh,13,2022,18-49,60825,19828563
minsal,CHI,sh,13,2022,50-59,35230,19828563
minsal,CHI,sh,13,2022,60-69,37059,19828563
minsal,CHI,sh,13,2022,70-79,30781,19828563
minsal,CHI,sh,13,2022,80+,24058,19828563
minsal,CHI,sh,14,2022,0-5,3233,19828563
minsal,CHI,sh,14,2022,5-17,3697,19828563
minsal,CHI,sh,14,2022,18-49,61046,19828563
minsal,CHI,sh,14,2022,50-59,35304,19828563
minsal,CHI,sh,14,2022,60-69,37155,19828563
minsal,CHI,sh,14,2022,70-79,30921,19828563
minsal,CHI,sh,14,2022,80+,24189,19828563
minsal,CHI,sh,15,2022,0-5,3253,19828563
minsal,CHI,sh,15,2022,5-17,3723,19828563
minsal,CHI,sh,15,2022,18-49,61248,19828563
minsal,CHI,sh,15,2022,50-59,35372,19828563
minsal,CHI,sh,15,2022,60-69,37264,19828563
minsal,CHI,sh,15,2022,70-79,31019,19828563
minsal,CHI,sh,15,2022,80+,24323,19828563
minsal,CHI,sh,16,2022,0-5,3278,19828563
minsal,CHI,sh,16,2022,5-17,3741,19828563
minsal,CHI,sh,16,2022,18-49,61415,19828563
minsal,CHI,sh,16,2022,50-59,35429,19828563
minsal,CHI,sh,16,2022,60-69,37341,19828563
minsal,CHI,sh,16,2022,70-79,31077,19828563
minsal,CHI,sh,16,2022,80+,24423,19828563
minsal,CHI,sh,17,2022,0-5,3317,19828563
minsal,CHI,sh,17,2022,5-17,3763,19828563
minsal,CHI,sh,17,2022,18-49,61542,19828563
minsal,CHI,sh,17,2022,50-59,35474,19828563
minsal,CHI,sh,17,2022,60-69,37403,19828563
minsal,CHI,sh,17,2022,70-79,31163,19828563
minsal,CHI,sh,17,2022,80+,24494,19828563
minsal,CHI,sh,18,2022,0-5,3337,19828563
minsal,CHI,sh,18,2022,5-17,3793,19828563
minsal,CHI,sh,18,2022,18-49,61647,19828563
minsal,CHI,sh,18,2022,50-59,35503,19828563
minsal,CHI,sh,18,2022,60-69,37466,19828563
minsal,CHI,sh,18,2022,70-79,31217,19828563
minsal,CHI,sh,18,2022,80+,24562,19828563
minsal,CHI,sh,19,2022,0-5,3367,19828563
minsal,CHI,sh,19,2022,5-17,3830,19828563
minsal,CHI,sh,19,2022,18-49,61779,19828563
minsal,CHI,sh,19,2022,50-59,35549,19828563
minsal,CHI,sh,19,2022,60-69,37516,19828563
minsal,CHI,sh,19,2022,70-79,31278,19828563
minsal,CHI,sh,19,2022,80+,24628,19828563
minsal,CHI,sh,20,2022,0-5,3394,19828563
minsal,CHI,sh,20,2022,5-17,3871,19828563
minsal,CHI,sh,20,2022,18-49,61954,19828563
minsal,CHI,sh,20,2022,50-59,35611,19828563
minsal,CHI,sh,20,2022,60-69,37609,19828563
minsal,CHI,sh,20,2022,70-79,31370,19828563
minsal,CHI,sh,20,2022,80+,24722,19828563
minsal,CHI,sh,21,2022,0-5,3444,19828563
minsal,CHI,sh,21,2022,5-17,3894,19828563
minsal,CHI,sh,21,2022,18-49,62149,19828563
minsal,CHI,sh,21,2022,50-59,35674,19828563
minsal,CHI,sh,21,2022,60-69,37717,19828563
minsal,CHI,sh,21,2022,70-79,31474,19828563
minsal,CHI,sh,21,2022,80+,24836,19828563
minsal,CHI,sh,22,2022,0-5,3488,19828563
minsal,CHI,sh,22,2022,5-17,3929,19828563
minsal,CHI,sh,22,2022,18-49,62398,19828563
minsal,CHI,sh,22,2022,50-59,35757,19828563
minsal,CHI,sh,22,2022,60-69,37829,19828563
minsal,CHI,sh,22,2022,70-79,31620,19828563
minsal,CHI,sh,22,2022,80+,25005,19828563
minsal,CHI,sh,23,2022,0-5,3567,19828563
minsal,CHI,sh,23,2022,5-17,3983,19828563
minsal,CHI,sh,23,2022,18-49,62726,19828563
minsal,CHI,sh,23,2022,50-59,35889,19828563
minsal,CHI,sh,23,2022,60-69,37988,19828563
minsal,CHI,sh,23,2022,70-79,31835,19828563
minsal,CHI,sh,23,2022,80+,25237,19828563
minsal,CHI,sh,24,2022,0-5,3641,19828563
minsal,CHI,sh,24,2022,5-17,4039,19828563
minsal,CHI,sh,24,2022,18-49,63127,19828563
minsal,CHI,sh,24,2022,50-59,36012,19828563
minsal,CHI,sh,24,2022,60-69,38196,19828563
minsal,CHI,sh,24,2022,70-79,32076,19828563
minsal,CHI,sh,24,2022,80+,25495,19828563
minsal,CHI,sh,25,2022,0-5,3732,19828563
minsal,CHI,sh,25,2022,5-17,4081,19828563
minsal,CHI,sh,25,2022,18-49,63462,19828563
minsal,CHI,sh,25,2022,50-59,36136,19828563
minsal,CHI,sh,25,2022,60-69,38394,19828563
minsal,CHI,sh,25,2022,70-79,32276,19828563
minsal,CHI,sh,25,2022,80+,25729,19828563
minsal,CHI,sh,26,2022,0-5,3821,19828563
minsal,CHI,sh,26,2022,5-17,4147,19828563
minsal,CHI,sh,26,2022,18-49,63892,19828563
minsal,CHI,sh,26,2022,50-59,36268,19828563
minsal,CHI,sh,26,2022,60-69,38607,19828563
minsal,CHI,sh,26,2022,70-79,32527,19828563
minsal,CHI,sh,26,2022,80+,26054,19828563
minsal,CHI,sh,27,2022,0-5,3930,19828563
minsal,CHI,sh,27,2022,5-17,4210,19828563
minsal,CHI,sh,27,2022,18-49,64294,19828563
minsal,CHI,sh,27,2022,50-59,36430,19828563
minsal,CHI,sh,27,2022,60-69,38836,19828563
minsal,CHI,sh,27,2022,70-79,32762,19828563
minsal,CHI,sh,27,2022,80+,26337,19828563
minsal,CHI,sh,28,2022,0-5,4015,19828563
minsal,CHI,sh,28,2022,5-17,4264,19828563
minsal,CHI,sh,28,2022,18-49,64642,19828563
minsal,CHI,sh,28,2022,50-59,36597,19828563
minsal,CHI,sh,28,2022,60-69,39045,19828563
minsal,CHI,sh,28,2022,70-79,33008,19828563
minsal,CHI,sh,28,2022,80+,26655,19828563
minsal,CHI,sh,29,2022,0-5,4083,19828563
minsal,CHI,sh,29,2022,5-17,4313,19828563
minsal,CHI,sh,29,2022,18-49,65027,19828563
minsal,CHI,sh,29,2022,50-59,36746,19828563
minsal,CHI,sh,29,2022,60-69,39271,19828563
minsal,CHI,sh,29,2022,70-79,33281,19828563
minsal,CHI,sh,29,2022,80+,26965,19828563
minsal,CHI,sh,30,2022,0-5,4164,19828563
minsal,CHI,sh,30,2022,5-17,4359,19828563
minsal,CHI,sh,30,2022,18-49,65397,19828563
minsal,CHI,sh,30,2022,50-59,36890,19828563
minsal,CHI,sh,30,2022,60-69,39472,19828563
minsal,CHI,sh,30,2022,70-79,33517,19828563
minsal,CHI,sh,30,2022,80+,27208,19828563
minsal,CHI,sh,31,2022,0-5,4244,19828563
minsal,CHI,sh,31,2022,5-17,4414,19828563
minsal,CHI,sh,31,2022,18-49,65690,19828563
minsal,CHI,sh,31,2022,50-59,37028,19828563
minsal,CHI,sh,31,2022,60-69,39679,19828563
minsal,CHI,sh,31,2022,70-79,33743,19828563
minsal,CHI,sh,31,2022,80+,27431,19828563
minsal,CHI,sh,32,2022,0-5,4339,19828563
minsal,CHI,sh,32,2022,5-17,4475,19828563
minsal,CHI,sh,32,2022,18-49,66045,19828563
minsal,CHI,sh,32,2022,50-59,37173,19828563
minsal,CHI,sh,32,2022,60-69,39837,19828563
minsal,CHI,sh,32,2022,70-79,33966,19828563
minsal,CHI,sh,32,2022,80+,27666,19828563
minsal,CHI,sh,33,2022,0-5,4410,19828563
minsal,CHI,sh,33,2022,5-17,4528,19828563
minsal,CHI,sh,33,2022,18-49,66378,19828563
minsal,CHI,sh,33,2022,50-59,37278,19828563
minsal,CHI,sh,33,2022,60-69,40029,19828563
minsal,CHI,sh,33,2022,70-79,34167,19828563
minsal,CHI,sh,33,2022,80+,27900,19828563
minsal,CHI,sh,34,2022,0-5,4477,19828563
minsal,CHI,sh,34,2022,5-17,4589,19828563
minsal,CHI,sh,34,2022,18-49,66691,19828563
minsal,CHI,sh,34,2022,50-59,37412,19828563
minsal,CHI,sh,34,2022,60-69,40220,19828563
minsal,CHI,sh,34,2022,70-79,34366,19828563
minsal,CHI,sh,34,2022,80+,28155,19828563
minsal,CHI,sh,35,2022,0-5,4541,19828563
minsal,CHI,sh,35,2022,5-17,4633,19828563
minsal,CHI,sh,35,2022,18-49,66983,19828563
minsal,CHI,sh,35,2022,50-59,37549,19828563
minsal,CHI,sh,35,2022,60-69,40378,19828563
minsal,CHI,sh,35,2022,70-79,34590,19828563
minsal,CHI,sh,35,2022,80+,28388,19828563
minsal,CHI,sh,36,2022,0-5,4589,19828563
minsal,CHI,sh,36,2022,5-17,4663,19828563
minsal,CHI,sh,36,2022,18-49,67228,19828563
minsal,CHI,sh,36,2022,50-59,37639,19828563
minsal,CHI,sh,36,2022,60-69,40527,19828563
minsal,CHI,sh,36,2022,70-79,34777,19828563
minsal,CHI,sh,36,2022,80+,28612,19828563
minsal,CHI,sh,37,2022,0-5,4606,19828563
minsal,CHI,sh,37,2022,5-17,4675,19828563
minsal,CHI,sh,37,2022,18-49,67315,19828563
minsal,CHI,sh,37,2022,50-59,37681,19828563
minsal,CHI,sh,37,2022,60-69,40566,19828563
minsal,CHI,sh,37,2022,70-79,34830,19828563
minsal,CHI,sh,37,2022,80+,28696,19828563
minsal,CHI,sh,38,2022,0-5,4650,19828563
minsal,CHI,sh,38,2022,5-17,4726,19828563
minsal,CHI,sh,38,2022,18-49,67617,19828563
minsal,CHI,sh,38,2022,50-59,37810,19828563
minsal,CHI,sh,38,2022,60-69,40766,19828563
minsal,CHI,sh,38,2022,70-79,35077,19828563
minsal,CHI,sh,38,2022,80+,28990,19828563
minsal,CHI,sh,39,2022,0-5,4663,19828563
minsal,CHI,sh,39,2022,5-17,4740,19828563
minsal,CHI,sh,39,2022,18-49,67703,19828563
minsal,CHI,sh,39,2022,50-59,37860,19828563
minsal,CHI,sh,39,2022,60-69,40832,19828563
minsal,CHI,sh,39,2022,70-79,35143,19828563
minsal,CHI,sh,39,2022,80+,29063,19828563
minsal,CHI,sh,40,2022,0-5,4702,19828563
minsal,CHI,sh,40,2022,5-17,4764,19828563
minsal,CHI,sh,40,2022,18-49,67884,19828563
minsal,CHI,sh,40,2022,50-59,37952,19828563
minsal,CHI,sh,40,2022,60-69,40962,19828563
minsal,CHI,sh,40,2022,70-79,35300,19828563
minsal,CHI,sh,40,2022,80+,29228,19828563
minsal,CHI,sh,41,2022,0-5,4764,19828563
minsal,CHI,sh,41,2022,5-17,4801,19828563
minsal,CHI,sh,41,2022,18-49,68110,19828563
minsal,CHI,sh,41,2022,50-59,38084,19828563
minsal,CHI,sh,41,2022,60-69,41135,19828563
minsal,CHI,sh,41,2022,70-79,35504,19828563
minsal,CHI,sh,41,2022,80+,29465,19828563
minsal,CHI,sh,42,2022,0-5,4810,19828563
minsal,CHI,sh,42,2022,5-17,4828,19828563
minsal,CHI,sh,42,2022,18-49,68308,19828563
minsal,CHI,sh,42,2022,50-59,38187,19828563
minsal,CHI,sh,42,2022,60-69,41282,19828563
minsal,CHI,sh,42,2022,70-79,35665,19828563
minsal,CHI,sh,42,2022,80+,29641,19828563
minsal,CHI,sh,43,2022,0-5,4867,19828563
minsal,CHI,sh,43,2022,5-17,4860,19828563
minsal,CHI,sh,43,2022,18-49,68576,19828563
minsal,CHI,sh,43,2022,50-59,38303,19828563
minsal,CHI,sh,43,2022,60-69,41458,19828563
minsal,CHI,sh,43,2022,70-79,35871,19828563
minsal,CHI,sh,43,2022,80+,29867,19828563
minsal,CHI,sh,44,2022,0-5,4918,19828563
minsal,CHI,sh,44,2022,5-17,4883,19828563
minsal,CHI,sh,44,2022,18-49,68774,19828563
minsal,CHI,sh,44,2022,50-59,38385,19828563
minsal,CHI,sh,44,2022,60-69,41601,19828563
minsal,CHI,sh,44,2022,70-79,36045,19828563
minsal,CHI,sh,44,2022,80+,30084,19828563
minsal,CHI,sh,45,2022,0-5,4996,19828563
minsal,CHI,sh,45,2022,5-17,4921,19828563
minsal,CHI,sh,45,2022,18-49,69063,19828563
minsal,CHI,sh,45,2022,50-59,38505,19828563
minsal,CHI,sh,45,2022,60-69,41788,19828563
minsal,CHI,sh,45,2022,70-79,36288,19828563
minsal,CHI,sh,45,2022,80+,30411,19828563
minsal,CHI,sh,46,2022,0-5,5054,19828563
minsal,CHI,sh,46,2022,5-17,4957,19828563
minsal,CHI,sh,46,2022,18-49,69307,19828563
minsal,CHI,sh,46,2022,50-59,38633,19828563
minsal,CHI,sh,46,2022,60-69,41976,19828563
minsal,CHI,sh,46,2022,70-79,36521,19828563
minsal,CHI,sh,46,2022,80+,30682,19828563
minsal,CHI,sh,47,2022,0-5,5106,19828563
minsal,CHI,sh,47,2022,5-17,4989,19828563
minsal,CHI,sh,47,2022,18-49,69580,19828563
minsal,CHI,sh,47,2022,50-59,38764,19828563
minsal,CHI,sh,47,2022,60-69,42151,19828563
minsal,CHI,sh,47,2022,70-79,36744,19828563
minsal,CHI,sh,47,2022,80+,30958,19828563
minsal,CHI,sh,48,2022,0-5,5149,19828563
minsal,CHI,sh,48,2022,5-17,5015,19828563
minsal,CHI,sh,48,2022,18-49,69813,19828563
minsal,CHI,sh,48,2022,50-59,38866,19828563
minsal,CHI,sh,48,2022,60-69,42316,19828563
minsal,CHI,sh,48,2022,70-79,36944,19828563
minsal,CHI,sh,48,2022,80+,31174,19828563
minsal,CHI,sh,49,2022,0-5,5194,19828563
minsal,CHI,sh,49,2022,5-17,5038,19828563
minsal,CHI,sh,49,2022,18-49,70017,19828563
minsal,CHI,sh,49,2022,50-59,38951,19828563
minsal,CHI,sh,49,2022,60-69,42430,19828563
minsal,CHI,sh,49,2022,70-79,37090,19828563
minsal,CHI,sh,49,2022,80+,31349,19828563
minsal,CHI,sh,50,2022,0-5,5242,19828563
minsal,CHI,sh,50,2022,5-17,5061,19828563
minsal,CHI,sh,50,2022,18-49,70226,19828563
minsal,CHI,sh,50,2022,50-59,39054,19828563
minsal,CHI,sh,50,2022,60-69,42550,19828563
minsal,CHI,sh,50,2022,70-79,37238,19828563
minsal,CHI,sh,50,2022,80+,31518,19828563
minsal,CHI,sh,51,2022,0-5,5304,19828563
minsal,CHI,sh,51,2022,5-17,5084,19828563
minsal,CHI,sh,51,2022,18-49,70434,19828563
minsal,CHI,sh,51,2022,50-59,39152,19828563
minsal,CHI,sh,51,2022,60-69,42680,19828563
minsal,CHI,sh,51,2022,70-79,37383,19828563
minsal,CHI,sh,51,2022,80+,31717,19828563
minsal,CHI,sh,52,2022,0-5,5363,19828563
minsal,CHI,sh,52,2022,5-17,5117,19828563
minsal,CHI,sh,52,2022,18-49,70727,19828563
minsal,CHI,sh,52,2022,50-59,39282,19828563
minsal,CHI,sh,52,2022,60-69,42859,19828563
minsal,CHI,sh,52,2022,70-79,37566,19828563
minsal,CHI,sh,52,2022,80+,31919,19828563
