week,year,age_group,hsp_abs_covid,hsp_rate_covid19
1,2022,0TO4,103,2.59
1,2022,60-79,1804,9.85
1,2022,ALL,5380,6.46
1,2022,15-34,629,3.35
1,2022,35-59,1410,4.96
1,2022,5TO14,66,0.86
1,2022,80+,1367,22.37
2,2022,80+,1273,20.83
2,2022,0TO4,184,4.63
2,2022,60-79,1595,8.71
2,2022,15-34,933,4.96
2,2022,35-59,1331,4.69
2,2022,ALL,5437,6.53
2,2022,5TO14,121,1.59
3,2022,5TO14,206,2.7
3,2022,80+,1096,17.93
3,2022,0TO4,232,5.84
3,2022,ALL,5205,6.25
3,2022,60-79,1283,7
3,2022,15-34,976,5.19
3,2022,35-59,1410,4.96
4,2022,5TO14,337,4.42
4,2022,60-79,1667,9.1
4,2022,80+,1506,24.64
4,2022,15-34,1257,6.69
4,2022,35-59,1705,6
4,2022,0TO4,322,8.1
4,2022,ALL,6794,8.16
5,2022,60-79,2056,11.22
5,2022,80+,2025,33.13
5,2022,5TO14,415,5.44
5,2022,15-34,1478,7.86
5,2022,0TO4,409,10.29
5,2022,ALL,8402,10.09
5,2022,35-59,2011,7.08
6,2022,5TO14,459,6.01
6,2022,15-34,1551,8.25
6,2022,ALL,10143,12.19
6,2022,60-79,2757,15.05
6,2022,80+,2747,44.95
6,2022,0TO4,415,10.44
6,2022,35-59,2212,7.79
7,2022,35-59,2277,8.02
7,2022,60-79,2838,15.49
7,2022,5TO14,415,5.44
7,2022,15-34,1462,7.78
7,2022,ALL,10650,12.79
7,2022,80+,3243,53.06
7,2022,0TO4,413,10.39
8,2022,0TO4,423,10.64
8,2022,35-59,2097,7.38
8,2022,5TO14,353,4.63
8,2022,15-34,1287,6.85
8,2022,60-79,2974,16.23
8,2022,ALL,10576,12.71
8,2022,80+,3440,56.29
9,2022,0TO4,401,10.09
9,2022,35-59,1952,6.87
9,2022,5TO14,288,3.77
9,2022,15-34,1195,6.36
9,2022,60-79,3048,16.64
9,2022,80+,3442,56.32
9,2022,ALL,10330,12.41
10,2022,35-59,1840,6.48
10,2022,5TO14,247,3.24
10,2022,60-79,2899,15.83
10,2022,15-34,1164,6.19
10,2022,80+,3378,55.27
10,2022,ALL,9919,11.92
10,2022,0TO4,391,9.84
11,2022,35-59,1974,6.95
11,2022,60-79,3361,18.35
11,2022,15-34,1321,7.03
11,2022,80+,4005,65.53
11,2022,5TO14,301,3.94
11,2022,0TO4,459,11.55
11,2022,ALL,11425,13.73
12,2022,5TO14,329,4.31
12,2022,80+,4558,74.58
12,2022,ALL,12592,15.13
12,2022,60-79,3835,20.93
12,2022,0TO4,469,11.8
12,2022,35-59,2122,7.47
12,2022,15-34,1277,6.79
13,2022,80+,4441,72.66
13,2022,0TO4,430,10.82
13,2022,ALL,12325,14.81
13,2022,60-79,3857,21.05
13,2022,35-59,2081,7.33
13,2022,15-34,1253,6.67
13,2022,5TO14,260,3.41
14,2022,60-79,3474,18.96
14,2022,0TO4,408,10.26
14,2022,35-59,1874,6.6
14,2022,ALL,11073,13.3
14,2022,80+,4018,65.74
14,2022,5TO14,218,2.86
14,2022,15-34,1076,5.72
15,2022,5TO14,197,2.58
15,2022,35-59,1603,5.64
15,2022,60-79,3068,16.75
15,2022,ALL,9605,11.54
15,2022,80+,3505,57.35
15,2022,0TO4,331,8.33
15,2022,15-34,897,4.77
16,2022,80+,2953,48.32
16,2022,60-79,2537,13.85
16,2022,5TO14,134,1.76
16,2022,ALL,8008,9.62
16,2022,35-59,1321,4.65
16,2022,0TO4,302,7.6
16,2022,15-34,757,4.03
17,2022,60-79,2389,13.04
17,2022,35-59,1322,4.65
17,2022,0TO4,249,6.26
17,2022,15-34,754,4.01
17,2022,80+,2808,45.95
17,2022,ALL,7634,9.17
17,2022,5TO14,109,1.43
18,2022,35-59,1085,3.82
18,2022,60-79,2113,11.53
18,2022,80+,2321,37.98
18,2022,5TO14,111,1.45
18,2022,ALL,6454,7.75
18,2022,15-34,631,3.36
18,2022,0TO4,191,4.8
19,2022,35-59,943,3.32
19,2022,60-79,1790,9.77
19,2022,5TO14,109,1.43
19,2022,0TO4,167,4.2
19,2022,ALL,5495,6.6
19,2022,15-34,468,2.49
19,2022,80+,2014,32.95
20,2022,80+,1678,27.46
20,2022,60-79,1562,8.53
20,2022,15-34,456,2.43
20,2022,35-59,822,2.89
20,2022,5TO14,120,1.57
20,2022,0TO4,156,3.92
20,2022,ALL,4799,5.77
21,2022,35-59,639,2.25
21,2022,80+,1314,21.5
21,2022,ALL,3787,4.55
21,2022,5TO14,96,1.26
21,2022,60-79,1233,6.73
21,2022,15-34,385,2.05
21,2022,0TO4,120,3.02
22,2022,15-34,273,1.45
22,2022,60-79,872,4.76
22,2022,5TO14,52,0.68
22,2022,ALL,2645,3.18
22,2022,80+,893,14.61
22,2022,0TO4,104,2.62
22,2022,35-59,451,1.59
23,2022,15-34,373,1.98
23,2022,5TO14,54,0.71
23,2022,60-79,979,5.34
23,2022,0TO4,100,2.52
23,2022,ALL,3098,3.72
23,2022,80+,1036,16.95
23,2022,35-59,556,1.96
24,2022,35-59,697,2.45
24,2022,60-79,1244,6.79
24,2022,ALL,3949,4.74
24,2022,5TO14,53,0.69
24,2022,80+,1373,22.47
24,2022,15-34,453,2.41
24,2022,0TO4,128,3.22
25,2022,60-79,1559,8.51
25,2022,15-34,569,3.03
25,2022,35-59,878,3.09
25,2022,5TO14,87,1.14
25,2022,ALL,4926,5.92
25,2022,0TO4,196,4.93
25,2022,80+,1636,26.77
26,2022,35-59,1234,4.34
26,2022,60-79,2155,11.76
26,2022,80+,2374,38.84
26,2022,15-34,788,4.19
26,2022,5TO14,107,1.4
26,2022,ALL,6924,8.32
26,2022,0TO4,265,6.67
27,2022,35-59,1317,4.64
27,2022,80+,2604,42.61
27,2022,15-34,805,4.28
27,2022,60-79,2448,13.36
27,2022,5TO14,115,1.51
27,2022,ALL,7580,9.11
27,2022,0TO4,291,7.32
28,2022,15-34,750,3.99
28,2022,80+,2857,46.75
28,2022,35-59,1484,5.22
28,2022,60-79,2703,14.76
28,2022,0TO4,293,7.37
28,2022,ALL,8235,9.89
28,2022,5TO14,145,1.9
29,2022,60-79,3286,17.94
29,2022,0TO4,356,8.96
29,2022,15-34,880,4.68
29,2022,80+,3765,61.6
29,2022,5TO14,141,1.85
29,2022,35-59,1538,5.41
29,2022,ALL,9968,11.98
30,2022,5TO14,135,1.77
30,2022,60-79,3441,18.78
30,2022,35-59,1602,5.64
30,2022,ALL,10718,12.88
30,2022,15-34,915,4.87
30,2022,0TO4,380,9.56
30,2022,80+,4244,69.44
31,2022,0TO4,344,8.65
31,2022,80+,3735,61.11
31,2022,15-34,781,4.16
31,2022,60-79,3289,17.95
31,2022,5TO14,103,1.35
31,2022,ALL,9642,11.58
31,2022,35-59,1389,4.89
32,2022,60-79,2724,14.87
32,2022,5TO14,77,1.01
32,2022,35-59,1213,4.27
32,2022,0TO4,297,7.47
32,2022,15-34,682,3.63
32,2022,80+,3033,49.63
32,2022,ALL,8027,9.64
33,2022,35-59,955,3.36
33,2022,60-79,2227,12.16
33,2022,80+,2564,41.95
33,2022,ALL,6602,7.93
33,2022,5TO14,82,1.07
33,2022,0TO4,243,6.11
33,2022,15-34,530,2.82
34,2022,80+,2446,40.02
34,2022,60-79,2165,11.82
34,2022,35-59,958,3.37
34,2022,ALL,6364,7.65
34,2022,15-34,492,2.62
34,2022,0TO4,229,5.76
34,2022,5TO14,72,0.94
35,2022,80+,1962,32.1
35,2022,60-79,1704,9.3
35,2022,35-59,827,2.91
35,2022,15-34,403,2.14
35,2022,0TO4,190,4.78
35,2022,ALL,5154,6.19
35,2022,5TO14,68,0.89
36,2022,0TO4,149,3.75
36,2022,80+,1555,25.44
36,2022,60-79,1524,8.32
36,2022,35-59,676,2.38
36,2022,5TO14,47,0.62
36,2022,15-34,332,1.77
36,2022,ALL,4285,5.15
37,2022,80+,1628,26.64
37,2022,15-34,337,1.79
37,2022,0TO4,171,4.3
37,2022,35-59,631,2.22
37,2022,60-79,1450,7.92
37,2022,ALL,4282,5.14
37,2022,5TO14,63,0.83
38,2022,5TO14,58,0.76
38,2022,0TO4,130,3.27
38,2022,60-79,1617,8.83
38,2022,80+,1782,29.16
38,2022,ALL,4659,5.6
38,2022,35-59,731,2.57
38,2022,15-34,341,1.81
39,2022,5TO14,71,0.93
39,2022,80+,2678,43.82
39,2022,0TO4,166,4.18
39,2022,60-79,2282,12.46
39,2022,35-59,931,3.28
39,2022,ALL,6597,7.93
39,2022,15-34,467,2.48
40,2022,80+,4557,74.56
40,2022,15-34,641,3.41
40,2022,ALL,10809,12.99
40,2022,35-59,1538,5.41
40,2022,60-79,3752,20.48
40,2022,0TO4,230,5.79
40,2022,5TO14,82,1.07
41,2022,60-79,5210,28.44
41,2022,80+,6547,107.12
41,2022,35-59,2020,7.11
41,2022,5TO14,75,0.98
41,2022,15-34,760,4.04
41,2022,ALL,14900,17.9
41,2022,0TO4,283,7.12
42,2022,0TO4,309,7.77
42,2022,15-34,916,4.87
42,2022,60-79,6240,34.06
42,2022,80+,7851,128.46
42,2022,35-59,2290,8.06
42,2022,ALL,17697,21.26
42,2022,5TO14,85,1.11
43,2022,80+,7253,118.67
43,2022,15-34,826,4.39
43,2022,60-79,5826,31.8
43,2022,35-59,2160,7.6
43,2022,0TO4,280,7.04
43,2022,ALL,16454,19.77
43,2022,5TO14,98,1.28
44,2022,35-59,1642,5.78
44,2022,60-79,4383,23.93
44,2022,0TO4,210,5.28
44,2022,15-34,549,2.92
44,2022,80+,5134,84
44,2022,5TO14,87,1.14
44,2022,ALL,12011,14.43
45,2022,15-34,497,2.64
45,2022,80+,3760,61.52
45,2022,5TO14,63,0.83
45,2022,60-79,3072,16.77
45,2022,35-59,1149,4.05
45,2022,ALL,8718,10.47
45,2022,0TO4,175,4.4
46,2022,15-34,374,1.99
46,2022,80+,3217,52.64
46,2022,0TO4,145,3.65
46,2022,60-79,2680,14.63
46,2022,ALL,7443,8.94
46,2022,5TO14,41,0.54
46,2022,35-59,981,3.45
47,2022,15-34,403,2.14
47,2022,35-59,965,3.4
47,2022,0TO4,143,3.6
47,2022,60-79,2387,13.03
47,2022,5TO14,46,0.6
47,2022,80+,3019,49.4
47,2022,ALL,6967,8.37
48,2022,35-59,1022,3.6
48,2022,15-34,404,2.15
48,2022,5TO14,56,0.73
48,2022,ALL,7595,9.12
48,2022,60-79,2706,14.77
48,2022,80+,3294,53.9
48,2022,0TO4,110,2.77
49,2022,15-34,521,2.77
49,2022,5TO14,55,0.72
49,2022,80+,3980,65.12
49,2022,ALL,9161,11.01
49,2022,60-79,3137,17.12
49,2022,0TO4,142,3.57
49,2022,35-59,1323,4.66
50,2022,60-79,3735,20.39
50,2022,80+,4793,78.42
50,2022,35-59,1416,4.99
50,2022,0TO4,147,3.7
50,2022,15-34,502,2.67
50,2022,ALL,10643,12.79
50,2022,5TO14,46,0.6
51,2022,80+,5510,90.16
51,2022,60-79,4352,23.76
51,2022,0TO4,165,4.15
51,2022,15-34,589,3.13
51,2022,ALL,12306,14.78
51,2022,35-59,1634,5.75
51,2022,5TO14,46,0.6
52,2022,60-79,4923,26.87
52,2022,0TO4,165,4.15
52,2022,ALL,13661,16.41
52,2022,15-34,661,3.52
52,2022,35-59,1767,6.22
52,2022,5TO14,58,0.76
52,2022,80+,6082,99.51
1,2023,0TO4,189,4.75
1,2023,60-79,3535,19.3
1,2023,ALL,10021,12.04
1,2023,15-34,475,2.53
1,2023,35-59,1235,4.35
1,2023,5TO14,42,0.55
1,2023,80+,4543,74.33
2,2023,80+,3942,64.5
2,2023,0TO4,145,3.65
2,2023,60-79,3089,16.86
2,2023,15-34,467,2.48
2,2023,35-59,1120,3.94
2,2023,ALL,8804,10.58
2,2023,5TO14,35,0.46
3,2023,5TO14,39,0.51
3,2023,80+,2636,43.13
3,2023,0TO4,123,3.09
3,2023,ALL,6251,7.51
3,2023,60-79,2289,12.5
3,2023,15-34,356,1.89
3,2023,35-59,801,2.82
4,2023,5TO14,43,0.56
4,2023,60-79,1469,8.02
4,2023,80+,1814,29.68
4,2023,15-34,273,1.45
4,2023,35-59,589,2.07
4,2023,0TO4,125,3.14
4,2023,ALL,4317,5.19
