Date,AUS,
15/03,,2020
16/03,,2020
17/03,,2020
18/03,,2020
19/03,,2020
20/03,,2020
21/03,,2020
22/03,,2020
23/03,,2020
24/03,,2020
25/03,,2020
26/03,,2020
27/03,,2020
28/03,,2020
29/03,,2020
30/03,295,2020
31/03,268,2020
01/04,396,2020
02/04,414,2020
03/04,410,2020
04/04,,2020
05/04,408,2020
06/04,448,2020
07/04,305,2020
08/04,263,2020
09/04,262,2020
10/04,236,2020
11/04,240,2020
12/04,239,2020
13/04,227,2020
14/04,230,2020
15/04,214,2020
16/04,201,2020
17/04,192,2020
18/04,184,2020
19/04,177,2020
20/04,170,2020
21/04,167,2020
22/04,162,2020
23/04,152,2020
24/04,138,2020
25/04,129,2020
26/04,115,2020
27/04,113,2020
28/04,109,2020
29/04,93,2020
30/04,89,2020
01/05,83,2020
02/05,79,2020
03/05,75,2020
04/05,70,2020
05/05,66,2020
06/05,62,2020
07/05,58,2020
08/05,56,2020
09/05,51,2020
10/05,43,2020
11/05,49,2020
12/05,47,2020
13/05,50,2020
14/05,51,2020
15/05,46,2020
16/05,49,2020
17/05,50,2020
18/05,45,2020
19/05,47,2020
20/05,43,2020
21/05,41,2020
22/05,39,2020
23/05,35,2020
24/05,33,2020
25/05,31,2020
26/05,30,2020
27/05,30,2020
28/05,27,2020
29/05,23,2020
30/05,22,2020
31/05,21,2020
01/06,20,2020
02/06,26,2020
03/06,25,2020
04/06,23,2020
05/06,21,2020
06/06,21,2020
07/06,18,2020
08/06,19,2020
09/06,19,2020
10/06,20,2020
11/06,18,2020
12/06,17,2020
13/06,16,2020
14/06,16,2020
15/06,17,2020
16/06,17,2020
17/06,16,2020
18/06,14,2020
19/06,15,2020
20/06,17,2020
21/06,15,2020
22/06,16,2020
23/06,19,2020
24/06,16,2020
25/06,16,2020
26/06,12,2020
27/06,12,2020
28/06,11,2020
29/06,15,2020
30/06,14,2020
01/07,18,2020
02/07,24,2020
03/07,27,2020
04/07,29,2020
05/07,30,2020
06/07,34,2020
07/07,39,2020
08/07,46,2020
09/07,45,2020
10/07,54,2020
11/07,55,2020
12/07,67,2020
13/07,92,2020
14/07,90,2020
15/07,111,2020
16/07,114,2020
17/07,126,2020
18/07,116,2020
19/07,135,2020
20/07,156,2020
21/07,183,2020
22/07,214,2020
23/07,211,2020
24/07,217,2020
25/07,239,2020
26/07,241,2020
27/07,259,2020
28/07,275,2020
29/07,323,2020
30/07,330,2020
31/07,366,2020
01/08,401,2020
02/08,408,2020
03/08,439,2020
04/08,483,2020
05/08,538,2020
06/08,600,2020
07/08,632,2020
08/08,659,2020
09/08,658,2020
10/08,664,2020
11/08,673,2020
12/08,685,2020
13/08,686,2020
14/08,679,2020
15/08,681,2020
16/08,680,2020
17/08,674,2020
18/08,682,2020
19/08,694,2020
20/08,642,2020
21/08,647,2020
22/08,631,2020
23/08,604,2020
24/08,659,2020
25/08,644,2020
26/08,603,2020
27/08,558,2020
28/08,543,2020
29/08,510,2020
30/08,501,2020
31/08,481,2020
01/09,450,2020
02/09,432,2020
03/09,391,2020
04/09,357,2020
05/09,327,2020
06/09,311,2020
07/09,295,2020
08/09,264,2020
09/09,221,2020
10/09,195,2020
11/09,162,2020
12/09,151,2020
13/09,137,2020
14/09,141,2020
15/09,139,2020
16/09,126,2020
17/09,117,2020
18/09,108,2020
19/09,106,2020
20/09,109,2020
21/09,107,2020
22/09,100,2020
23/09,89,2020
24/09,81,2020
25/09,71,2020
26/09,68,2020
27/09,65,2020
28/09,62,2020
29/09,60,2020
30/09,55,2020
01/10,50,2020
02/10,51,2020
03/10,49,2020
04/10,46,2020
05/10,46,2020
06/10,37,2020
07/10,32,2020
08/10,31,2020
09/10,28,2020
10/10,31,2020
11/10,31,2020
12/10,32,2020
13/10,31,2020
14/10,28,2020
15/10,26,2020
16/10,20,2020
17/10,18,2020
18/10,16,2020
19/10,17,2020
20/10,17,2020
21/10,16,2020
22/10,16,2020
23/10,20,2020
24/10,18,2020
25/10,17,2020
26/10,16,2020
27/10,15,2020
28/10,13,2020
29/10,19,2020
30/10,20,2020
31/10,17,2020
01/11,17,2020
02/11,16,2020
03/11,15,2020
04/11,20,2020
05/11,21,2020
06/11,20,2020
07/11,19,2020
08/11,19,2020
09/11,20,2020
10/11,20,2020
11/11,22,2020
12/11,22,2020
13/11,22,2020
14/11,21,2020
15/11,22,2020
16/11,24,2020
17/11,23,2020
18/11,22,2020
19/11,26,2020
20/11,23,2020
21/11,25,2020
22/11,22,2020
23/11,21,2020
24/11,25,2020
25/11,24,2020
26/11,24,2020
27/11,22,2020
28/11,21,2020
29/11,21,2020
30/11,22,2020
01/12,21,2020
02/12,21,2020
03/12,26,2020
04/12,27,2020
05/12,28,2020
06/12,29,2020
07/12,33,2020
08/12,37,2020
09/12,32,2020
10/12,38,2020
11/12,38,2020
12/12,37,2020
13/12,34,2020
14/12,28,2020
15/12,31,2020
16/12,28,2020
17/12,29,2020
18/12,24,2020
19/12,25,2020
20/12,26,2020
21/12,23,2020
22/12,22,2020
23/12,20,2020
24/12,21,2020
25/12,24,2020
26/12,23,2020
27/12,25,2020
28/12,19,2020
29/12,24,2020
30/12,19,2020
31/12,22,2020
01/01,19,2021
02/01,25,2021
03/01,26,2021
04/01,26,2021
05/01,32,2021
06/01,36,2021
07/01,38,2021
08/01,41,2021
09/01,40,2021
10/01,41,2021
11/01,45,2021
12/01,47,2021
13/01,44,2021
14/01,46,2021
15/01,51,2021
16/01,47,2021
17/01,38,2021
18/01,34,2021
19/01,32,2021
20/01,36,2021
21/01,32,2021
22/01,34,2021
23/01,32,2021
24/01,26,2021
25/01,25,2021
26/01,28,2021
27/01,21,2021
28/01,21,2021
29/01,20,2021
30/01,14,2021
31/01,14,2021
01/02,10,2021
02/02,9,2021
03/02,9,2021
04/02,10,2021
05/02,9,2021
06/02,9,2021
07/02,11,2021
08/02,10,2021
09/02,11,2021
10/02,12,2021
11/02,12,2021
12/02,12,2021
13/02,11,2021
14/02,12,2021
15/02,14,2021
16/02,12,2021
17/02,12,2021
18/02,11,2021
19/02,10,2021
20/02,10,2021
21/02,10,2021
22/02,11,2021
23/02,12,2021
24/02,12,2021
25/02,13,2021
26/02,17,2021
27/02,21,2021
28/02,19,2021
01/03,17,2021
02/03,24,2021
03/03,20,2021
04/03,26,2021
05/03,25,2021
06/03,27,2021
07/03,29,2021
08/03,29,2021
09/03,37,2021
10/03,42,2021
11/03,46,2021
12/03,44,2021
13/03,48,2021
14/03,41,2021
15/03,37,2021
16/03,43,2021
17/03,47,2021
18/03,46,2021
19/03,63,2021
20/03,64,2021
21/03,60,2021
22/03,64,2021
23/03,66,2021
24/03,72,2021
25/03,71,2021
26/03,73,2021
27/03,75,2021
28/03,77,2021
29/03,78,2021
30/03,83,2021
31/03,76,2021
01/04,87,2021
02/04,86,2021
03/04,78,2021
04/04,81,2021
05/04,84,2021
06/04,79,2021
07/04,82,2021
08/04,76,2021
09/04,76,2021
10/04,69,2021
11/04,65,2021
12/04,62,2021
13/04,63,2021
14/04,59,2021
15/04,50,2021
16/04,46,2021
17/04,44,2021
18/04,44,2021
19/04,44,2021
20/04,48,2021
21/04,47,2021
22/04,47,2021
23/04,61,2021
24/04,67,2021
25/04,68,2021
26/04,73,2021
27/04,71,2021
28/04,75,2021
29/04,69,2021
30/04,72,2021
01/05,73,2021
02/05,63,2021
03/05,59,2021
04/05,60,2021
05/05,54,2021
06/05,46,2021
07/05,39,2021
08/05,38,2021
09/05,35,2021
10/05,35,2021
11/05,32,2021
12/05,31,2021
13/05,27,2021
14/05,24,2021
15/05,24,2021
16/05,23,2021
17/05,23,2021
18/05,25,2021
19/05,22,2021
20/05,22,2021
21/05,21,2021
22/05,22,2021
23/05,18,2021
24/05,19,2021
25/05,17,2021
26/05,20,2021
27/05,18,2021
28/05,19,2021
29/05,17,2021
30/05,19,2021
31/05,21,2021
01/06,17,2021
02/06,21,2021
03/06,20,2021
04/06,19,2021
05/06,17,2021
06/06,16,2021
07/06,17,2021
08/06,18,2021
09/06,14,2021
10/06,16,2021
11/06,16,2021
12/06,15,2021
13/06,16,2021
14/06,24,2021
15/06,26,2021
16/06,27,2021
17/06,35,2021
18/06,39,2021
19/06,36,2021
20/06,36,2021
21/06,40,2021
22/06,42,2021
23/06,45,2021
24/06,49,2021
25/06,52,2021
26/06,52,2021
27/06,56,2021
28/06,58,2021
29/06,59,2021
30/06,62,2021
01/07,67,2021
02/07,73,2021
03/07,66,2021
04/07,75,2021
05/07,81,2021
06/07,83,2021
07/07,97,2021
08/07,103,2021
09/07,104,2021
10/07,112,2021
11/07,113,2021
12/07,126,2021
13/07,125,2021
14/07,128,2021
15/07,132,2021
16/07,132,2021
17/07,123,2021
18/07,124,2021
19/07,128,2021
20/07,142,2021
21/07,155,2021
22/07,155,2021
23/07,173,2021
24/07,174,2021
25/07,180,2021
26/07,191,2021
27/07,207,2021
28/07,201,2021
29/07,243,2021
30/07,247,2021
31/07,247,2021
01/08,295,2021
02/08,314,2021
03/08,350,2021
04/08,365,2021
05/08,369,2021
06/08,388,2021
07/08,426,2021
08/08,441,2021
09/08,426,2021
10/08,432,2021
11/08,440,2021
12/08,428,2021
13/08,439,2021
14/08,427,2021
15/08,423,2021
16/08,439,2021
17/08,493,2021
18/08,503,2021
19/08,514,2021
20/08,511,2021
21/08,554,2021
22/08,603,2021
23/08,641,2021
24/08,667,2021
25/08,708,2021
26/08,765,2021
27/08,836,2021
28/08,853,2021
29/08,888,2021
30/08,925,2021
31/08,951,2021
01/09,999,2021
02/09,1047,2021
03/09,1068,2021
04/09,1138,2021
05/09,1137,2021
06/09,1187,2021
07/09,1278,2021
08/09,1276,2021
09/09,1305,2021
10/09,1318,2021
11/09,"1,338",2021
12/09,1379,2021
13/09,1375,2021
14/09,1442,2021
15/09,1442,2021
16/09,1444,2021
17/09,1484,2021
18/09,"1,455",2021
19/09,"1,468",2021
20/09,"1,442",2021
21/09,1541,2021
22/09,1518,2021
23/09,1530,2021
24/09,"1,512",2021
25/09,"1,529",2021
26/09,"1,493",2021
27/09,"1,538",2021
28/09,"1,551",2021
29/09,"1,479",2021
30/09,1514,2021
01/10,"1,483",2021
02/10,"1,468",2021
03/10,1494,2021
04/10,1500,2021
05/10,1537,2021
06/10,1528,2021
07/10,1520,2021
08/10,1522,2021
09/10,1437,2021
10/10,1446,2021
11/10,1492,2021
12/10,1486,2021
13/10,1463,2021
14/10,1459,2021
15/10,1414,2021
16/10,1493,2021
17/10,1441,2021
18/10,1502,2021
19/10,1416,2021
20/10,1379,2021
21/10,1344,2021
22/10,1310,2021
23/10,1285,2021
24/10,1307,2021
25/10,1318,2021
26/10,1310,2021
27/10,1192,2021
28/10,1151,2021
29/10,1126,2021
30/10,1113,2021
31/10,1064,2021
01/11,1068,2021
02/11,1019,2021
03/11,984,2021
04/11,978,2021
05/11,932,2021
06/11,934,2021
07/11,851,2021
08/11,835,2021
09/11,851,2021
10/11,725,2021
11/11,702,2021
12/11,681,2021
13/11,654,2021
14/11,638,2021
15/11,615,2021
16/11,632,2021
17/11,598,2021
18/11,574,2021
19/11,559,2021
20/11,538,2021
21/11,547,2021
22/11,564,2021
23/11,550,2021
24/11,531,2021
25/11,563,2021
26/11,557,2021
27/11,536,2021
28/11,512,2021
29/11,542,2021
30/11,543,2021
01/12,532,2021
02/12,513,2021
03/12,511,2021
04/12,517,2021
05/12,541,2021
06/12,562,2021
07/12,543,2021
08/12,529,2021
09/12,539,2021
10/12,544,2021
11/12,537,2021
12/12,535,2021
13/12,569,2021
14/12,610,2021
15/12,625,2021
16/12,672,2021
17/12,716,2021
18/12,717,2021
19/12,759,2021
20/12,755,2021
21/12,776,2021
22/12,794,2021
23/12,862,2021
24/12,910,2021
25/12,893,2021
26/12,968,2021
27/12,1000,2021
28/12,1066,2021
29/12,1176,2021
30/12,1308,2021
31/12,1460,2021
01/01,1605,2022
02/01,1827,2022
03/01,"2,003",2022
04/01,2206,2022
05/01,2523,2022
06/01,2707,2022
07/01,2904,2022
08/01,3107,2022
09/01,3323,2022
10/01,3544,2022
11/01,3865,2022
12/01,4000,2022
13/01,4227,2022
14/01,"4,426",2022
15/01,"4,603",2022
16/01,"4,761",2022
17/01,5046,2022
18/01,5237,2022
19/01,5307,2022
20/01,5277,2022
21/01,"5,147",2022
22/01,"5,108",2022
23/01,"5,036",2022
24/01,"5,173",2022
25/01,"5,391",2022
26/01,"5,227",2022
27/01,"5,090",2022
28/01,"5,021",2022
29/01,"4,953",2022
30/01,"4,790",2022
31/01,"4,947",2022
01/02,"4,954",2022
02/02,"4,665",2022
03/02,"4,594",2022
04/02,"4,448",2022
05/02,"4,255",2022
06/02,"4,147",2022
07/02,"3,916",2022
08/02,"3,801",2022
09/02,"3,588",2022
10/02,"3,414",2022
11/02,"3,293",2022
12/02,"3,126",2022
13/02,"3,010",2022
14/02,"3,069",2022
15/02,"2,949",2022
16/02,"2,738",2022
17/02,"2,677",2022
18/02,"2,528",2022
19/02,"2,437",2022
20/02,"2,392",2022
21/02,"2,416",2022
22/02,"2,415",2022
23/02,"2,322",2022
24/02,"2,186",2022
25/02,"2,072",2022
26/02,"2,025",2022
27/02,"1,995",2022
28/02,"2,003",2022
01/03,"1,940",2022
02/03,"1,904",2022
03/03,"1,837",2022
04/03,"1,753",2022
05/03,"1,752",2022
06/03,"1,737",2022
07/03,"1,809",2022
08/03,"1,788",2022
09/03,"1,737",2022
10/03,"1,688",2022
11/03,"1,689",2022
12/03,"1,685",2022
13/03,"1,702",2022
14/03,"1,727",2022
15/03,"1,801",2022
16/03,"1,812",2022
17/03,"1,855",2022
18/03,"1,855",2022
19/03,"1,903",2022
20/03,"1,943",2022
21/03,"2,046",2022
22/03,"2,107",2022
23/03,"2,104",2022
24/03,"2,149",2022
25/03,"2,152",2022
26/03,"2,159",2022
27/03,"2,176",2022
28/03,"2,301",2022
29/03,"2,364",2022
30/03,"2,446",2022
31/03,"2,492",2022
01/04,"2,533",2022
02/04,"2,522",2022
03/04,"2,581",2022
04/04,"2,699",2022
05/04,"2,836",2022
06/04,"2,811",2022
07/04,"2,746",2022
08/04,"2,818",2022
09/04,"2,844",2022
10/04,"2,941",2022
11/04,"3,092",2022
12/04,"3,145",2022
13/04,"3,147",2022
14/04,"3,138",2022
15/04,"2,982",2022
16/04,"3,002",2022
17/04,"3,069",2022
18/04,"3,178",2022
19/04,"3,276",2022
20/04,"3,329",2022
21/04,"3,320",2022
22/04,"3,236",2022
23/04,"3,210",2022
24/04,"3,152",2022
25/04,"3,189",2022
26/04,"3,291",2022
27/04,"3,391",2022
28/04,"3,330",2022
29/04,"3,169",2022
30/04,"3,177",2022
01/05,"3,099",2022
02/05,"3,218",2022
03/05,"3,088",2022
04/05,"3,104",2022
05/05,"3,131",2022
06/05,"3,125",2022
07/05,"3,071",2022
08/05,"3,073",2022
09/05,"3,139",2022
10/05,"3,168",2022
11/05,"3,102",2022
12/05,"3,004",2022
13/05,"2,933",2022
14/05,"2,956",2022
15/05,"2,988",2022
16/05,"3,101",2022
17/05,"3,162",2022
18/05,"3,134",2022
19/05,"2,986",2022
20/05,"2,891",2022
21/05,"2,829",2022
22/05,"2,844",2022
23/05,"2,912",2022
24/05,"2,927",2022
25/05,"2,889",2022
26/05,"2,905",2022
27/05,"2,863",2022
28/05,"2,715",2022
29/05,"2,712",2022
30/05,"2,774",2022
31/05,"2,777",2022
01/06,"2,686",2022
02/06,"2,570",2022
03/06,"2,723",2022
04/06,"2,660",2022
05/06,"2,689",2022
06/06,"2,756",2022
07/06,"2,804",2022
08/06,"2,778",2022
09/06,"2,744",2022
10/06,"2,707",2022
11/06,"2,656",2022
12/06,"2,682",2022
13/06,"2,733",2022
14/06,"2,851",2022
15/06,"2,887",2022
16/06,"2,818",2022
17/06,"2,817",2022
18/06,"2,815",2022
19/06,"2,905",2022
20/06,"3,006",2022
21/06,"3,055",2022
22/06,"3,022",2022
23/06,"3,043",2022
24/06,"2,967",2022
25/06,"3,046",2022
26/06,"3,118",2022
27/06,"3,133",2022
28/06,"3,276",2022
29/06,"3,224",2022
30/06,"3,267",2022
01/07,"3,272",2022
02/07,"3,329",2022
03/07,"3,415",2022
04/07,"3,511",2022
05/07,"3,740",2022
06/07,"3,781",2022
07/07,"3,899",2022
08/07,"3,977",2022
09/07,"4,024",2022
10/07,"4,094",2022
11/07,"4,327",2022
12/07,"4,468",2022
13/07,"4,477",2022
14/07,"4,512",2022
15/07,"4,602",2022
16/07,"4,733",2022
17/07,"4,719",2022
18/07,"5,001",2022
19/07,"5,239",2022
20/07,"5,357",2022
21/07,"5,360",2022
22/07,"5,307",2022
23/07,"5,251",2022
24/07,"5,362",2022
25/07,"5,433",2022
26/07,"5,571",2022
27/07,"5,364",2022
28/07,"5,245",2022
29/07,"5,104",2022
30/07,"5,012",2022
31/07,"4,925",2022
01/08,"4,992",2022
02/08,"5,002",2022
03/08,"4,861",2022
04/08,"4,702",2022
05/08,"4,613",2022
06/08,"4,483",2022
07/08,"4,431",2022
08/08,"4,484",2022
09/08,"4,611",2022
10/08,"4,343",2022
11/08,"4,274",2022
12/08,"4,098",2022
13/08,"3,981",2022
14/08,"3,991",2022
15/08,"4,013",2022
16/08,"3,982",2022
17/08,"3,807",2022
18/08,"3,726",2022
19/08,"3,621",2022
20/08,"3,477",2022
21/08,"3,433",2022
22/08,"3,429",2022
23/08,"3,453",2022
24/08,"3,324",2022
25/08,"3,237",2022
26/08,"3,110",2022
27/08,"3,087",2022
28/08,"3,010",2022
29/08,"3,036",2022
30/08,"3,004",2022
31/08,"2,937",2022
01/09,"2,863",2022
02/09,"2,765",2022
03/09,"2,718",2022
04/09,"2,701",2022
05/09,"2,694",2022
06/09,"2,599",2022
07/09,"2,460",2022
08/09,"2,388",2022
09/09,"2,339",2022
10/09,"2,332",2022
11/09,"2,332",2022
12/09,"2,332",2022
13/09,"2,346",2022
14/09,"2,337",2022
15/09,"2,337",2022
16/09,"1,991",2022
17/09,"2,004",2022
18/09,"1,963",2022
19/09,"1,956",2022
20/09,"1,950",2022
21/09,"1,937",2022
22/09,"1,931",2022
23/09,"1,763",2022
24/09,"1,763",2022
25/09,"1,763",2022
26/09,"1,763",2022
27/09,"1,763",2022
28/09,"1,763",2022
29/09,"1,763",2022
30/09,"1,563",2022
01/10,"1,563",2022
02/10,"1,563",2022
03/10,"1,563",2022
04/10,"1,563",2022
05/10,"1,563",2022
06/10,"1,563",2022
07/10,"1,465",2022
08/10,"1,465",2022
09/10,"1,465",2022
10/10,"1,465",2022
11/10,"1,465",2022
12/10,"1,465",2022
13/10,"1,465",2022
14/10,"1,425",2022
15/10,"1,425",2022
16/10,"1,425",2022
17/10,"1,425",2022
18/10,"1,425",2022
19/10,"1,425",2022
20/10,"1,425",2022
21/10,"1,433",2022
22/10,"1,433",2022
23/10,"1,433",2022
24/10,"1,433",2022
25/10,"1,433",2022
26/10,"1,433",2022
27/10,"1,433",2022
28/10,"1,338",2022
29/10,"1,338",2022
30/10,"1,338",2022
31/10,"1,338",2022
01/11,"1,338",2022
02/11,"1,338",2022
03/11,"1,338",2022
04/11,"1,395",2022
05/11,"1,395",2022
06/11,"1,395",2022
07/11,"1,395",2022
08/11,"1,395",2022
09/11,"1,395",2022
10/11,"1,395",2022
11/11,"1,786",2022
12/11,"1,786",2022
13/11,"1,786",2022
14/11,"1,786",2022
15/11,"1,786",2022
16/11,"1,786",2022
17/11,"1,786",2022
18/11,"2,116",2022
19/11,"2,116",2022
20/11,"2,116",2022
21/11,"2,116",2022
22/11,"2,116",2022
23/11,"2,116",2022
24/11,"2,116",2022
25/11,"2,471",2022
26/11,"2,471",2022
27/11,"2,471",2022
28/11,"2,471",2022
29/11,"2,471",2022
30/11,"2,471",2022
01/12,"2,471",2022
02/12,"2,582",2022
03/12,"2,582",2022
04/12,"2,582",2022
05/12,"2,582",2022
06/12,"2,582",2022
07/12,"2,582",2022
08/12,"2,582",2022
09/12,"3,026",2022
10/12,"3,026",2022
11/12,"3,026",2022
12/12,"3,026",2022
13/12,"3,026",2022
14/12,"3,026",2022
15/12,"3,026",2022
16/12,"3,361",2022
17/12,"3,361",2022
18/12,"3,361",2022
19/12,"3,361",2022
20/12,"3,361",2022
21/12,"3,361",2022
22/12,"3,361",2022
23/12,"3,377",2022
24/12,"3,377",2022
25/12,"3,377",2022
26/12,"3,377",2022
27/12,"3,377",2022
28/12,"3,377",2022
29/12,"3,377",2022
30/12,"3,593",2022
31/12,"3,593",2022
01/01,"3,593",2023
02/01,"3,593",2023
03/01,"3,593",2023
04/01,"3,593",2023
05/01,"3,593",2023
06/01,"3,448",2023
07/01,"3,448",2023
08/01,"3,448",2023
09/01,"3,448",2023
10/01,"3,448",2023
11/01,"3,448",2023
12/01,"3,448",2023
13/01,"2,824",2023
14/01,"2,824",2023
15/01,"2,824",2023
16/01,"2,824",2023
17/01,"2,824",2023
18/01,"2,824",2023
19/01,"2,824",2023
20/01,"2,278",2023
21/01,"2,278",2023
22/01,"2,278",2023
23/01,"2,278",2023
24/01,"2,278",2023
25/01,"2,278",2023
26/01,"2,278",2023
27/01,"1,939",2023